"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"1","E02000002",6775,29640,54199.94,6726,0.993,0.208,1407,8,0.584,0.542635658914729,0.625,2,3387
"2","E02000003",10045,36400,155263.77,16947,1.687,0.285,2860,15.457,0.554,0.501146788990826,0.58102766798419,3,3348
"3","E02000005",8562,34840,47053.63,6623,0.774,0.123,1056,5.496,0.597,0.596590909090909,0.596590909090909,1,8562
"4","E02000008",11569,31200,262577.9,34309,2.966,0.356,4119,22.697,0.53,0.49349710982659,0.549813200498132,3,3856
"5","E02000009",8395,32240,108939.19,13690,1.631,0.242,2033,12.977,0.626,0.583398590446359,0.667989417989418,2,4197
"6","E02000010",8615,31720,45530.7100000001,6081,0.706,0.122,1052,5.285,0.541,0.540874524714829,0.540874524714829,1,8615
"7","E02000011",6187,35360,77312.35,8835,1.428,0.282,1742,12.496,0.551,0.54483541430193,0.557491289198606,2,3093
"8","E02000012",9888,38480,166710.8,19422,1.964,0.251,2478,16.86,0.511,0.458404074702886,0.563994374120956,2,4944
"9","E02000013",8402,32240,77222.7199999999,10455,1.244,0.264,2219,9.191,0.586,0.505933117583603,0.629057187017002,3,2800
"10","E02000014",9402,32760,57722.6599999999,7028,0.748,0.123,1157,6.139,0.535,0.535004321521175,0.535004321521175,1,9402
"11","E02000015",7563,29640,51566.65,7310,0.967,0.166,1253,6.818,0.612,0.606896551724138,0.617647058823529,2,3781
"12","E02000016",7676,32240,84486.09,9993,1.302,0.232,1782,11.007,0.588,0.57046332046332,0.60455764075067,2,3838
"13","E02000017",8498,37960,41819.6,4671,0.55,0.111,946,4.921,0.526,0.526427061310782,0.526427061310782,1,8498
"14","E02000019",8276,34840,147073.91,21462,2.593,0.28,2315,17.771,0.564,0.480259281084266,0.647249190938511,2,4138
"15","E02000020",9276,31720,103350.78,15510,1.672,0.221,2046,11.142,0.587,0.576098059244127,0.597938144329897,2,4638
"16","E02000021",7904,35360,105776.13,13175,1.667,0.308,2432,13.383,0.53,0.518847006651885,0.546099290780142,3,2634
