"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"1","E02000002",6775,29640,57871.38,7557,1,0,1476,8.54190110701106,0.580817217716781,0.568777292576419,0.592857142857143,2,3387
"2","E02000003",10045,36400,153174.48,16474,1,0,2866,15.2488282727726,0.557115375077597,0.529126213592233,0.573623559539053,3,3348
"3","E02000005",8562,34840,53877.89,7172,0,0,1060,6.29267577668769,0.592452830188679,0.592452830188679,0.592452830188679,1,8562
"4","E02000008",11569,31200,269332.73,35078,3,0,4053,23.2805540669029,0.528570231702929,0.503644314868805,0.549323017408124,3,3856
"5","E02000009",8395,32240,115298.04,14432,1,0,2103,13.7341322215605,0.61477790918553,0.574942352036895,0.654613466334165,2,4197
"6","E02000010",8615,31720,73928.0500000001,8002,0,0,1230,8.5813174695299,0.532520325203252,0.532520325203252,0.532520325203252,1,8615
"7","E02000011",6187,35360,79900.5900000001,8974,1,0,1735,12.9142702440601,0.559169663288656,0.546910755148741,0.571428571428571,2,3093
"8","E02000012",9888,38480,174031.39,20268,2,0,2540,17.600261933657,0.499864581594227,0.463305322128852,0.536423841059603,2,4944
"9","E02000013",8402,32240,96509.58,11859,1,0,2425,11.486500833135,0.570371723999644,0.514492753623188,0.605143721633888,3,2800
"10","E02000014",9402,32760,66770.6,7914,0,0,1227,7.10174430972133,0.519967400162999,0.519967400162999,0.519967400162999,1,9402
"11","E02000015",7563,29640,48705.75,6788,0,0,1156,6.44000396667989,0.634766964159229,0.601025641025641,0.668508287292818,2,3781
"12","E02000016",7676,32240,89779.68,10444,1,0,1856,11.6961542470036,0.583279393847091,0.57089552238806,0.595663265306122,2,3838
"13","E02000017",8498,37960,40534.41,4863,0,0,922,4.76987644151565,0.542299349240781,0.542299349240781,0.542299349240781,1,8498
"14","E02000019",8276,34840,148570.56,21488,2,0,2358,17.9519768003867,0.552805891013228,0.476336816226183,0.629274965800274,2,4138
"15","E02000020",9276,31720,104941.84,12754,1,0,2057,11.3132643380768,0.574953239035996,0.565776458951533,0.584130019120459,2,4638
"16","E02000021",7904,35360,113493.65,12884,1,0,2474,14.3590144230769,0.533238798999669,0.525337837837838,0.537422037422037,3,2634
"17","E02000023",6482,30680,60056.0299999999,8953,1,0,1082,9.26504628201172,0.599815157116451,0.599815157116451,0.599815157116451,1,6482
"18","E02000024",10156,53560,92482.6099999999,8870,0,0,2049,9.10620421425757,0.479414807755535,0.333333333333333,0.552657973921765,3,3385
"19","E02000025",7956,45760,88097.39,8287,1,0,1276,11.0730756661639,0.583855799373041,0.583855799373041,0.583855799373041,1,7956
"20","E02000028",6166,49400,44792.04,4313,0,0,1198,7.26435939020434,0.566446942827188,0.551194539249147,0.581699346405229,2,3083
"21","E02000029",8517,45240,183375.1,17505,2,0,3570,21.5304802160385,0.619301194879763,0.572844400396432,0.645598194130926,4,2129
