"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"1","E02000002",6775,29640,51628.08,5739,0.847,0.198,1341,7.62,0.589,0.551412429378531,0.62719298245614,2,3387
"2","E02000003",10045,36400,137230.01,15000,1.493,0.264,2648,13.662,0.567,0.529559748427673,0.589333333333333,3,3348
"3","E02000005",8562,34840,46327.5500000001,6089,0.711,0.109,932,5.411,0.604,0.604077253218884,0.604077253218884,1,8562
"4","E02000008",11569,31200,286274.49,36728,3.175,0.41,4738,24.745,0.549,0.500730994152047,0.607558139534884,4,2892
"5","E02000009",8395,32240,101356.67,11803,1.406,0.234,1964,12.073,0.62,0.57603305785124,0.663129973474801,2,4197
"6","E02000010",8615,31720,55186.5900000001,6249,0.725,0.127,1092,6.406,0.543,0.543040293040293,0.543040293040293,1,8615
"7","E02000011",6187,35360,67747.22,7765,1.255,0.265,1640,10.95,0.565,0.557971014492754,0.571428571428571,2,3093
"8","E02000012",9888,38480,138138.8,16081,1.626,0.23,2279,13.97,0.517,0.45748730964467,0.576102418207681,2,4944
"9","E02000013",8402,32240,130489.74,16083,1.914,0.337,2830,15.531,0.57,0.538031319910515,0.595698924731183,3,2800
"10","E02000014",9402,32760,57639.8,6841,0.728,0.114,1074,6.131,0.552,0.552141527001862,0.552141527001862,1,9402
"11","E02000015",7563,29640,49824.86,6853,0.906,0.161,1218,6.588,0.635,0.615913555992141,0.655,2,3781
"12","E02000016",7676,32240,71881.3999999999,8007,1.043,0.214,1645,9.364,0.607,0.606027987082885,0.608938547486033,2,3838
"13","E02000017",8498,37960,37552.4,3914,0.461,0.099,839,4.419,0.53,0.530393325387366,0.530393325387366,1,8498
"14","E02000019",8276,34840,142850.23,19378,2.341,0.273,2258,17.261,0.577,0.492556634304207,0.661991584852735,2,4138
"15","E02000020",9276,31720,90679.91,11408,1.23,0.204,1896,9.776,0.597,0.585760517799353,0.607843137254902,2,4638
"16","E02000021",7904,35360,97968.44,12587,1.592,0.301,2378,12.395,0.541,0.540284360189573,0.541899441340782,3,2634
"17","E02000023",6482,30680,59953.9600000001,7754,1.196,0.15,975,9.249,0.626,0.625641025641026,0.625641025641026,1,6482
"18","E02000024",10156,53560,70046.08,7182,0.707,0.168,1711,6.897,0.617,0.577124868835257,0.666666666666667,3,3385
"19","E02000025",7956,45760,88426.1000000002,8173,1.027,0.154,1229,11.114,0.618,0.617575264442636,0.617575264442636,1,7956
"20","E02000028",6166,49400,43425.37,3929,0.637,0.183,1127,7.043,0.574,0.556896551724138,0.590493601462523,2,3083
"21","E02000029",8517,45240,162210.25,15458,1.815,0.402,3422,19.045,0.629,0.571092831962397,0.682385575589459,4,2129
