"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"1","E02000002",6775,29640,56095.47,7954,1.174,0.201,1364,8.28,0.596,0.566371681415929,0.626086956521739,2,3387
"2","E02000003",10045,36400,172092.32,19712,1.962,0.28,2811,17.132,0.561,0.515738498789346,0.588394062078273,3,3348
"3","E02000005",8562,34840,56830.2699999999,7283,0.851,0.116,994,6.637,0.591,0.590543259557344,0.590543259557344,1,8562
"4","E02000008",11569,31200,310615.76,41317,3.571,0.428,4949,26.849,0.547,0.497899159663866,0.595477386934673,4,2892
"5","E02000009",8395,32240,110146.62,13636,1.624,0.241,2026,13.121,0.622,0.578112609040444,0.665359477124183,2,4197
"6","E02000010",8615,31720,61152.34,7305,0.848,0.133,1142,7.098,0.542,0.542031523642732,0.542031523642732,1,8615
"7","E02000011",6187,35360,72877.84,8811,1.424,0.282,1745,11.779,0.548,0.547404063205418,0.548311990686845,2,3093
"8","E02000012",9888,38480,170956.91,19708,1.993,0.245,2427,17.289,0.524,0.466981132075472,0.581395348837209,2,4944
"9","E02000013",8402,32240,140811.4,17033,2.027,0.35,2937,16.759,0.57,0.545654565456546,0.5875,3,2800
"10","E02000014",9402,32760,67190.3099999999,7919,0.842,0.125,1176,7.146,0.536,0.535714285714286,0.535714285714286,1,9402
"11","E02000015",7563,29640,54065.21,7308,0.966,0.155,1175,7.149,0.634,0.607684529828109,0.661290322580645,2,3781
"12","E02000016",7676,32240,90336.66,10203,1.329,0.222,1703,11.769,0.607,0.592938733125649,0.621621621621622,2,3838
"13","E02000017",8498,37960,44663.09,5059,0.595,0.106,901,5.256,0.541,0.540510543840178,0.540510543840178,1,8498
"14","E02000019",8276,34840,160017.76,21816,2.636,0.278,2303,19.335,0.57,0.490554156171285,0.65034965034965,2,4138
"15","E02000020",9276,31720,89429.8400000001,12419,1.339,0.206,1909,9.641,0.605,0.600635593220339,0.609326424870466,2,4638
"16","E02000021",7904,35360,101925.02,12909,1.633,0.302,2390,12.895,0.545,0.531701890989989,0.560924369747899,3,2634
"17","E02000023",6482,30680,53233.08,7570,1.168,0.151,979,8.212,0.627,0.627170582226762,0.627170582226762,1,6482
"18","E02000024",10156,53560,75904.53,7800,0.768,0.178,1811,7.474,0.667,0.569607843137255,0.833333333333333,3,3385
"19","E02000025",7956,45760,89348.9300000002,8839,1.111,0.159,1265,11.23,0.599,0.599209486166008,0.599209486166008,1,7956
"20","E02000028",6166,49400,44998.07,4401,0.714,0.187,1150,7.298,0.591,0.586994727592267,0.59552495697074,2,3083
"21","E02000029",8517,45240,184221.84,18990,2.23,0.412,3511,21.63,0.607,0.5,0.673103448275862,5,1703
"22","E02000031",7294,49920,126006.23,13164,1.805,0.205,1493,17.275,0.56,0.559946416610851,0.559946416610851,1,7294
"23","E02000032",7857,48880,8861.50999999999,1007,0.128,0.042,329,1.128,0.705,0.70516717325228,0.70516717325228,1,7857
"24","E02000033",8537,41600,80481.66,8828,1.034,0.183,1564,9.427,0.631,0.618729096989967,0.643178410794603,2,4268
"25","E02000034",8508,42640,122146.03,12475,1.466,0.179,1523,14.357,0.556,0.556139198949442,0.556139198949442,1,8508
"26","E02000035",7965,45760,67592.9800000001,6049,0.759,0.146,1166,8.486,0.613,0.613207547169811,0.613207547169811,1,7965
"27","E02000036",10743,42120,71392.85,8661,0.806,0.158,1694,6.646,0.64,0.585769980506823,0.694610778443114,2,5371
"28","E02000037",9741,45760,111444.03,11616,1.192,0.145,1416,11.441,0.587,0.586864406779661,0.586864406779661,1,9741
