"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"3620","E02006711",7847,39520,77633.45,10623,1.354,0.17,1336,9.893,0.493,0.49251497005988,0.49251497005988,1,7847
"3621","E02006712",6929,42120,56363.88,8375,1.209,0.163,1129,8.134,0.426,0.426040744021258,0.426040744021258,1,6929
"3622","E02006713",6155,32760,161275.71,21720,3.529,0.435,2678,26.202,0.706,0.5,1,5,1231
"3623","E02006720",6828,32760,178860.26,26404,3.867,0.283,1932,26.195,0.467,0.466873706004141,0.466873706004141,1,6828
"3624","E02006721",5705,43160,83781.85,9582,1.68,0.234,1336,14.686,0.521,0.520958083832335,0.520958083832335,1,5705
"3625","E02006725",5662,31720,241494.68,22624,3.996,0.351,1987,42.652,0.466,0.465525918470055,0.465525918470055,1,5662
"3626","E02006726",6411,32240,119249.96,11879,1.853,0.241,1545,18.601,0.6,0.4375,0.875,3,2137
"3627","E02006729",7282,34840,30.29,4,0.001,0.001,4,0.004,0.25,0,0.5,2,3641
"3628","E02006730",6188,29120,70409.5999999999,9266,1.497,0.216,1334,11.378,0.518,0.517991004497751,0.517991004497751,1,6188
"3629","E02006731",5829,32240,77257.2100000001,8798,1.509,0.221,1291,13.254,0.516,0.515879163439194,0.515879163439194,1,5829
"3630","E02006732",7293,37960,62561.9200000001,7314,1.003,0.222,1619,8.578,0.384,0,0.577900552486188,3,2431
"3631","E02006733",6052,36920,81151.9700000002,10444,1.726,0.224,1357,13.409,0.519,0.518791451731761,0.518791451731761,1,6052
"3632","E02006737",7803,34320,129965.08,16217,2.078,0.205,1598,16.656,0.503,0.503128911138924,0.503128911138924,1,7803
"3633","E02006738",8966,28600,148809.08,17127,1.91,0.201,1800,16.597,0.486,0.486111111111111,0.486111111111111,1,8966
"3634","E02006740",6979,32760,236893.9,26783,3.838,0.43,3002,33.944,0.493,0.461538461538462,0.530434782608696,3,2326
"3635","E02006743",6560,31200,227069.49,24330,3.709,0.408,2678,34.614,0.182,0.0166666666666667,0.529411764705882,7,937
"3636","E02006746",7619,36920,3799.11,361,0.047,0.026,195,0.499,0.706,0.617142857142857,0.75,3,2539
"3637","E02006750",5430,31200,211.85,18,0.003,0.003,14,0.039,1,1,1,1,5430
"3638","E02006751",5927,31200,156357.62,17512,2.955,0.311,1844,26.381,0.51,0.510303687635575,0.510303687635575,1,5927
"3639","E02006753",6301,38480,62591.5,8320,1.32,0.189,1191,9.934,0.421,0.421494542401343,0.421494542401343,1,6301
"3640","E02006759",7065,31200,165200.89,24458,3.462,0.271,1918,23.383,0.465,0.464546402502607,0.464546402502607,1,7065
"3641","E02006764",5415,32240,1492.11,138,0.025,0.017,90,0.276,0.761,0.523809523809524,0.902439024390244,3,1805
