"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"1","E02000002",6775,29640,49220.89,6711,0.991,0.202,1366,7.265,0.6,0.575425790754258,0.625,2,3387
"2","E02000003",10045,36400,150571.26,15396,1.533,0.271,2726,14.99,0.569,0.521578298397041,0.597493036211699,3,3348
"3","E02000005",8562,34840,45242.53,6537,0.763,0.116,994,5.284,0.612,0.611670020120724,0.611670020120724,1,8562
"4","E02000008",11569,31200,248940.93,31028,2.682,0.346,4004,21.518,0.531,0.500365764447696,0.564713457823567,3,3856
"5","E02000009",8395,32240,105512.57,12830,1.528,0.238,1998,12.569,0.622,0.570739549839228,0.673740053050398,2,4197
"6","E02000010",8615,31720,59014.23,6382,0.741,0.133,1147,6.85,0.529,0.52920662598082,0.52920662598082,1,8615
"7","E02000011",6187,35360,68640.5799999999,7742,1.251,0.265,1642,11.094,0.568,0.564259485924113,0.572121212121212,2,3093
"8","E02000012",9888,38480,154279.06,17646,1.785,0.244,2414,15.603,0.509,0.465289730349971,0.55290611028316,2,4944
"9","E02000013",8402,32240,93246.9599999999,11648,1.386,0.276,2317,11.098,0.573,0.517482517482518,0.611382113821138,3,2800
"10","E02000014",9402,32760,54762.89,6866,0.73,0.118,1113,5.825,0.535,0.535489667565139,0.535489667565139,1,9402
"11","E02000015",7563,29640,50167.1199999999,5932,0.784,0.157,1190,6.633,0.642,0.598009950248756,0.686486486486486,2,3781
"12","E02000016",7676,32240,79084.69,9558,1.245,0.229,1757,10.303,0.588,0.558208955223881,0.617021276595745,2,3838
"13","E02000017",8498,37960,38122.3,4308,0.507,0.103,879,4.486,0.539,0.539249146757679,0.539249146757679,1,8498
"14","E02000019",8276,34840,137304.23,19475,2.353,0.271,2241,16.591,0.557,0.488416988416988,0.625909752547307,2,4138
"15","E02000020",9276,31720,88930,11549,1.245,0.206,1908,9.587,0.602,0.59344262295082,0.610271903323263,2,4638
"16","E02000021",7904,35360,100475,12053,1.525,0.307,2430,12.712,0.51,0.493693693693694,0.540106951871658,3,2634
"17","E02000023",6482,30680,54830.1100000001,8033,1.239,0.166,1076,8.459,0.607,0.606877323420074,0.606877323420074,1,6482
"18","E02000024",10156,53560,85052.9799999998,8073,0.795,0.188,1911,8.375,0.603,0.566937119675456,0.666666666666667,3,3385
"19","E02000025",7956,45760,82041.1000000002,7755,0.975,0.156,1240,10.312,0.596,0.595967741935484,0.595967741935484,1,7956
"20","E02000028",6166,49400,40351.95,3639,0.59,0.182,1123,6.544,0.56,0.554006968641115,0.566484517304189,2,3083
"21","E02000029",8517,45240,152418.82,14780,1.735,0.389,3309,17.896,0.622,0.577,0.650211565585331,4,2129
"22","E02000031",7294,49920,108104.39,11382,1.56,0.199,1455,14.821,0.539,0.538831615120275,0.538831615120275,1,7294
