"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"1","E02000002",6775,29640,52717.06,8155,1.204,0.199,1350,7.781,0.596,0.561282932416953,0.631027253668763,2,3387
"2","E02000003",10045,36400,160422.82,17809,1.773,0.28,2812,15.97,0.559,0.517199017199017,0.587027914614122,3,3348
"3","E02000005",8562,34840,50625.37,6329,0.739,0.115,985,5.913,0.617,0.617258883248731,0.617258883248731,1,8562
"4","E02000008",11569,31200,295521.57,39013,3.372,0.415,4804,25.544,0.545,0.496397694524496,0.58890290037831,4,2892
"5","E02000009",8395,32240,105097.67,12732,1.517,0.237,1988,12.519,0.626,0.591423948220065,0.660904255319149,2,4197
"6","E02000010",8615,31720,60422.8,6887,0.799,0.132,1140,7.014,0.54,0.540350877192982,0.540350877192982,1,8615
"7","E02000011",6187,35360,73563.04,8490,1.372,0.273,1690,11.89,0.57,0.561811505507956,0.578465063001146,2,3093
"8","E02000012",9888,38480,149366.1,17121,1.731,0.234,2316,15.106,0.522,0.477538461538462,0.567293777134588,2,4944
"9","E02000013",8402,32240,130586.3,16094,1.915,0.343,2882,15.542,0.561,0.500527983104541,0.595611285266458,3,2800
"10","E02000014",9402,32760,57541,7467,0.794,0.116,1092,6.12,0.557,0.556776556776557,0.556776556776557,1,9402
"11","E02000015",7563,29640,55637.49,7102,0.939,0.166,1255,7.357,0.619,0.601752677702045,0.635964912280702,2,3781
"12","E02000016",7676,32240,82859.11,9303,1.212,0.218,1675,10.795,0.607,0.598765432098765,0.615931721194879,2,3838
"13","E02000017",8498,37960,38830.43,4568,0.538,0.101,855,4.569,0.531,0.530994152046784,0.530994152046784,1,8498
"14","E02000019",8276,34840,145174.01,21198,2.561,0.268,2214,17.542,0.58,0.507156191661481,0.652388797364086,2,4138
"15","E02000020",9276,31720,84002.57,11390,1.228,0.206,1910,9.056,0.608,0.595015576323987,0.621964097148891,2,4638
"16","E02000021",7904,35360,103419.68,12755,1.614,0.312,2466,13.084,0.519,0.506329113924051,0.532544378698225,3,2634
"17","E02000023",6482,30680,56105.16,8858,1.367,0.152,987,8.656,0.631,0.631205673758865,0.631205673758865,1,6482
"18","E02000024",10156,53560,78234.77,7772,0.765,0.176,1787,7.703,0.534,0.428571428571429,0.605633802816901,3,3385
