"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"1","E02000002",6775,29640,49565.81,6011,0.887,0.195,1324,7.316,0.606,0.563348416289593,0.647727272727273,2,3387
"2","E02000003",10045,36400,146082.54,16032,1.596,0.273,2744,14.543,0.565,0.535759096612296,0.584731543624161,3,3348
"3","E02000005",8562,34840,51107.3799999999,6836,0.798,0.123,1053,5.969,0.602,0.602089268755935,0.602089268755935,1,8562
"4","E02000008",11569,31200,300297.93,39202,3.389,0.429,4966,25.957,0.545,0.502527075812274,0.585193889541716,4,2892
"5","E02000009",8395,32240,115109.42,13879,1.653,0.251,2103,13.712,0.629,0.572289156626506,0.686451612903226,2,4197
"6","E02000010",8615,31720,63406.65,6996,0.812,0.134,1151,7.36,0.541,0.541268462206777,0.541268462206777,1,8615
"7","E02000011",6187,35360,71758.54,8410,1.359,0.274,1694,11.598,0.581,0.577726218097448,0.584134615384615,2,3093
"8","E02000012",9888,38480,157076.25,18653,1.886,0.244,2408,15.886,0.529,0.473313782991202,0.584637268847795,2,4944
"9","E02000013",8402,32240,147835.98,17568,2.091,0.36,3027,17.595,0.562,0.535106382978723,0.586538461538462,3,2800
"10","E02000014",9402,32760,54424.2,7368,0.784,0.118,1109,5.789,0.551,0.550946798917944,0.550946798917944,1,9402
"11","E02000015",7563,29640,44978.65,6143,0.812,0.152,1152,5.947,0.614,0.612576064908722,0.614457831325301,2,3781
"12","E02000016",7676,32240,83420.26,9570,1.247,0.227,1739,10.868,0.609,0.599221789883268,0.618846694796062,2,3838
"13","E02000017",8498,37960,43948.83,5033,0.592,0.104,885,5.172,0.539,0.538983050847458,0.538983050847458,1,8498
"14","E02000019",8276,34840,162031.81,22597,2.73,0.288,2386,19.579,0.556,0.488609112709832,0.623955431754875,2,4138
"15","E02000020",9276,31720,105083.64,14194,1.53,0.222,2061,11.329,0.593,0.587048832271762,0.59964253798034,2,4638
"16","E02000021",7904,35360,99513.76,12591,1.593,0.308,2434,12.59,0.522,0.508802816901408,0.546747967479675,3,2634
