"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"1","E02000002",6775,29640,53286.07,6404,0.945,0.196,1327,7.865,0.594,0.548527808069793,0.639024390243902,2,3387
"2","E02000003",10045,36400,138234.08,15596,1.553,0.27,2716,13.761,0.567,0.543071161048689,0.589113257243196,3,3348
"3","E02000005",8562,34840,53062.62,6859,0.801,0.12,1028,6.197,0.602,0.602140077821012,0.602140077821012,1,8562
"4","E02000008",11569,31200,304250.21,39596,3.423,0.422,4882,26.299,0.548,0.505021520803443,0.598944591029024,4,2892
"5","E02000009",8395,32240,107584.12,13310,1.585,0.244,2048,12.815,0.615,0.57051282051282,0.65875,2,4197
"6","E02000010",8615,31720,65216.84,6938,0.805,0.138,1193,7.57,0.529,0.528918692372171,0.528918692372171,1,8615
"7","E02000011",6187,35360,73762.8,8601,1.39,0.279,1729,11.922,0.574,0.573923166472643,0.574712643678161,2,3093
"8","E02000012",9888,38480,149447.84,17419,1.762,0.238,2350,15.114,0.528,0.463087248322148,0.593530239099859,2,4944
"9","E02000013",8402,32240,140352.92,17556,2.09,0.349,2930,16.705,0.56,0.510869565217391,0.586172344689379,3,2800
"10","E02000014",9402,32760,53488.98,7064,0.751,0.116,1087,5.689,0.547,0.547378104875805,0.547378104875805,1,9402
"11","E02000015",7563,29640,46764.7,6619,0.875,0.156,1183,6.183,0.643,0.613333333333333,0.673076923076923,2,3781
"12","E02000016",7676,32240,80880.57,9352,1.218,0.226,1734,10.537,0.608,0.589970501474926,0.626220362622036,2,3838
"13","E02000017",8498,37960,37517.67,4360,0.513,0.105,890,4.415,0.545,0.544943820224719,0.544943820224719,1,8498
"14","E02000019",8276,34840,136317.93,19149,2.314,0.266,2201,16.471,0.563,0.481222151495863,0.644444444444444,2,4138
"15","E02000020",9276,31720,95361.44,12269,1.323,0.201,1862,10.28,0.616,0.612576064908722,0.61986301369863,2,4638
"16","E02000021",7904,35360,98579.39,12703,1.607,0.302,2389,12.472,0.536,0.508988764044944,0.56015037593985,3,2634
"17","E02000023",6482,30680,57843.68,8206,1.266,0.15,970,8.924,0.641,0.641237113402062,0.641237113402062,1,6482
"18","E02000024",10156,53560,74964,7505,0.739,0.178,1807,7.381,0.633,0.578277886497065,0.714285714285714,3,3385
"19","E02000025",7956,45760,82926.2400000002,7861,0.988,0.155,1230,10.423,0.611,0.610569105691057,0.610569105691057,1,7956
"20","E02000028",6166,49400,43590.09,3928,0.637,0.184,1135,7.069,0.59,0.582037996545769,0.598920863309353,2,3083
"21","E02000029",8517,45240,161841.84,15798,1.855,0.403,3435,19.002,0.627,0.579881656804734,0.664712778429074,4,2129
"22","E02000031",7294,49920,117107,12394,1.699,0.213,1550,16.055,0.547,0.547096774193548,0.547096774193548,1,7294
"23","E02000033",8537,41600,78013.8100000001,8400,0.984,0.219,1869,9.138,0.638,0.619428571428571,0.649180327868852,3,2845
"24","E02000034",8508,42640,109524.4,11184,1.315,0.174,1481,12.873,0.575,0.574611748818366,0.574611748818366,1,8508
"25","E02000035",7965,45760,81164.6800000001,6877,0.863,0.151,1204,10.19,0.596,0.595514950166113,0.595514950166113,1,7965
"26","E02000036",10743,42120,82410.94,9004,0.838,0.164,1761,7.671,0.635,0.597957288765088,0.672514619883041,2,5371
"27","E02000037",9741,45760,106913.1,10902,1.119,0.139,1351,10.976,0.586,0.586232420429312,0.586232420429312,1,9741
"28","E02000038",10514,46800,108411.19,9997,0.951,0.192,2018,10.311,0.566,0.543040293040293,0.588552915766739,2,5257
"29","E02000041",8811,41080,221071.95,19839,2.252,0.344,3028,25.09,0.554,0.502847380410023,0.605345911949686,2,4405
"30","E02000042",10639,43680,245644.7,23062,2.168,0.314,3339,23.089,0.667,0.517081644470179,0.941176470588235,3,3546
"31","E02000043",7696,60320,96186.22,8754,1.137,0.177,1363,12.498,0.565,0.564930300807043,0.564930300807043,1,7696
"32","E02000045",10237,41600,80759.58,10354,1.011,0.138,1414,7.889,0.528,0.528288543140028,0.528288543140028,1,10237
"33","E02000046",7063,50440,134696.78,14333,2.029,0.419,2958,19.071,0.624,0.561458333333333,0.678510998307953,4,1765
"34","E02000047",11373,34840,209210.24,25786,2.267,0.259,2940,18.395,0.716,0.54899837574445,1,5,2274
"35","E02000048",9817,52520,55704.72,5973,0.608,0.112,1102,5.674,0.588,0.588021778584392,0.588021778584392,1,9817
"36","E02000051",8647,54080,82940.2399999999,8302,0.96,0.217,1878,9.592,0.613,0.605695509309967,0.619689119170984,2,4323
"37","E02000052",9698,49400,86020.5100000001,9792,1.01,0.193,1875,8.87,0.614,0.581328200192493,0.647129186602871,2,4849
"38","E02000053",8697,37960,34317.74,3498,0.402,0.096,831,3.946,0.629,0.629362214199759,0.629362214199759,1,8697
"39","E02000054",7206,46280,127365.51,12021,1.668,0.283,2039,17.675,0.604,0.584243369734789,0.623513870541612,2,3603
"40","E02000055",11130,40560,91280.0800000001,9032,0.812,0.157,1743,8.201,0.634,0.569675090252708,0.698324022346369,2,5565
"41","E02000057",7484,44200,31774.79,3664,0.49,0.145,1083,4.246,0.657,0.633828996282528,0.680733944954128,2,3742
"42","E02000058",10220,60320,66797.28,6901,0.675,0.112,1143,6.536,0.623,0.622922134733158,0.622922134733158,1,10220
"43","E02000060",10920,47840,46108.9899999999,4509,0.413,0.097,1063,4.222,0.531,0.530573847601129,0.530573847601129,1,10920
"44","E02000061",8013,57720,28484.35,2553,0.319,0.095,760,3.555,0.618,0.618421052631579,0.618421052631579,1,8013
"45","E02000063",6971,42120,101381.98,9951,1.427,0.196,1368,14.543,0.538,0.538011695906433,0.538011695906433,1,6971
