"","MSOA","residents","annual_income","NIC","ITEMS_SUM","ITEMS_per_capita","prescriptions_per_capita","prescriptions","NIC_per_capita","avg_generic_ratio","min_generic_ratio","max_generic_ratio","practices","residents_per_practice"
"1","E02000002",6775,29640,53933.79,7311,1,0,1379,7.96070701107012,0.581822083043377,0.547777777777778,0.615866388308977,2,3387
"2","E02000003",10045,36400,147938.12,17160,1,0,2792,14.7275380786461,0.556859268625094,0.526976160602258,0.58761206193969,3,3348
"3","E02000005",8562,34840,72822.4499999999,8534,0,0,1102,8.50530833917308,0.590744101633394,0.590744101633394,0.590744101633394,1,8562
"4","E02000008",11569,31200,291654.87,38908,3,0,4923,25.2100328463999,0.545455053127418,0.498200143988481,0.585365853658537,4,2892
"5","E02000009",8395,32240,107365.28,13422,1,0,2001,12.7891935675998,0.62842190016103,0.590177133655394,0.666666666666667,2,4197
"6","E02000010",8615,31720,53227.32,5937,0,0,1093,6.17844689495067,0.537968892955169,0.537968892955169,0.537968892955169,1,8615
"7","E02000011",6187,35360,69889.63,7835,1,0,1694,11.2962065621464,0.559692098810521,0.549824150058617,0.569560047562426,2,3093
"8","E02000012",9888,38480,159970.48,18862,1,0,2451,16.1782443365696,0.516960871265223,0.460151250727167,0.573770491803279,2,4944
"9","E02000013",8402,32240,94326.17,11822,1,0,2461,11.226632944537,0.582067921469385,0.528344671201814,0.64026402640264,3,2800
"10","E02000014",9402,32760,50751.93,6064,0,0,1057,5.39799298021698,0.532639545884579,0.532639545884579,0.532639545884579,1,9402
"11","E02000015",7563,29640,46232.7799999999,6176,0,0,1164,6.11302128784872,0.624228017949971,0.619348054679285,0.629107981220657,2,3781
"12","E02000016",7676,32240,82838.62,9354,1,0,1694,10.7918994267848,0.609377367174886,0.589232303090728,0.629522431259045,2,3838
"13","E02000017",8498,37960,34980.66,4209,0,0,902,4.11634031536832,0.522172949002217,0.522172949002217,0.522172949002217,1,8498
"14","E02000019",8276,34840,148899.61,21888,2,0,2366,17.9917363460609,0.552157538623997,0.479485609308022,0.624829467939973,2,4138
"15","E02000020",9276,31720,100378.91,15044,1,0,1941,10.8213572660629,0.601934549100921,0.586933614330875,0.616935483870968,2,4638
"16","E02000021",7904,35360,93104.97,11733,1,0,2398,11.7794749493927,0.516998875162053,0.5,0.533266129032258,3,2634
"17","E02000023",6482,30680,60190.97,8530,1,0,1031,9.28586393088553,0.631425800193986,0.631425800193986,0.631425800193986,1,6482
"18","E02000024",10156,53560,80315.56,7907,0,0,1856,7.90818826309571,0.594634317862166,0.562236286919831,0.625,3,3385
"19","E02000025",7956,45760,77507.6900000001,7490,0,0,1245,9.74204248366014,0.589558232931727,0.589558232931727,0.589558232931727,1,7956
"20","E02000028",6166,49400,43009.1,3947,0,0,1191,6.97520272461888,0.579344206783678,0.579310344827586,0.579378068739771,2,3083
"21","E02000029",8517,45240,158203.37,15991,1,0,3519,18.5750111541623,0.628374634112495,0.576693227091634,0.67152466367713,4,2129
"22","E02000031",7294,49920,102416.08,11504,1,0,1482,14.0411406635591,0.539136302294197,0.539136302294197,0.539136302294197,1,7294
"23","E02000033",8537,41600,72464.74,8258,0,0,1900,8.4883143961579,0.63561213921686,0.608597285067873,0.650674662668666,3,2845
"24","E02000034",8508,42640,96618.2799999999,10362,1,0,1454,11.3561683121768,0.562585969738652,0.562585969738652,0.562585969738652,1,8508
"25","E02000035",7965,45760,69765.6399999999,6136,0,0,1169,8.759025737602,0.594525235243798,0.594525235243798,0.594525235243798,1,7965
"26","E02000036",10743,42120,73206.4999999999,8439,0,0,1714,6.81434422414595,0.63577404650626,0.577358490566038,0.694189602446483,2,5371
"27","E02000037",9741,45760,93192.6400000002,10510,1,0,1363,9.56705061082027,0.59501100513573,0.59501100513573,0.59501100513573,1,9741
"28","E02000038",10514,46800,97842.7700000001,8951,0,0,1906,9.30595111280199,0.576171351776115,0.557330827067669,0.595011876484561,2,5257
"29","E02000041",8811,41080,204579.81,19374,2,0,3058,23.218682328907,0.547517699691613,0.507622811970638,0.587412587412587,2,4405
"30","E02000042",10639,43680,247170.85,23426,2,0,3446,23.2325265532475,0.586367755293444,0.51178838412881,0.695652173913043,3,3546
"31","E02000043",7696,60320,94766.0699999999,9443,1,0,1444,12.3136785343035,0.568559556786704,0.568559556786704,0.568559556786704,1,7696
"32","E02000045",10237,41600,68888.5799999999,9696,0,0,1442,6.72937188629481,0.534674063800277,0.534674063800277,0.534674063800277,1,10237
"33","E02000046",7063,50440,106024.15,10615,1,0,2407,15.0112062862806,0.666345014396106,0.5635305528613,0.8,4,1765
"34","E02000047",11373,34840,206559.48,25813,2,0,3045,18.1622685307307,0.5976001437833,0.454545454545455,0.739130434782609,5,2274
"35","E02000048",9817,52520,56474.03,5931,0,0,1100,5.75267698889681,0.573636363636364,0.573636363636364,0.573636363636364,1,9817
"36","E02000051",8647,54080,87637.6100000001,8642,0,0,1964,10.135030646467,0.608765641076704,0.59504132231405,0.622489959839357,2,4323
"37","E02000052",9698,49400,97301.83,9892,1,0,1955,10.0331851928233,0.611328475632293,0.567289719626168,0.655367231638418,2,4849
"38","E02000053",8697,37960,32409.67,3767,0,0,835,3.72653443716224,0.639520958083832,0.639520958083832,0.639520958083832,1,8697
"39","E02000054",7206,46280,117719.64,11567,1,0,2046,16.3363363863447,0.582881507119603,0.563369397217929,0.602393617021277,2,3603
"40","E02000055",11130,40560,83243.7000000001,9116,0,0,1705,7.47921832884098,0.640071225071225,0.583846153846154,0.696296296296296,2,5565
"41","E02000057",7484,44200,33666.1,3717,0,0,1134,4.49840994120791,0.657284396809571,0.643382352941177,0.671186440677966,2,3742
"42","E02000058",10220,60320,57450.64,6341,0,0,1104,5.62139334637965,0.654891304347826,0.654891304347826,0.654891304347826,1,10220
"43","E02000060",10920,47840,45071.8800000001,4442,0,0,1042,4.12746153846155,0.543186180422265,0.543186180422265,0.543186180422265,1,10920
"44","E02000061",8013,57720,30542.29,2895,0,0,849,3.81159241232996,0.588928150765607,0.588928150765607,0.588928150765607,1,8013
"45","E02000063",6971,42120,98112.0000000002,9268,1,0,1410,14.0743078467939,0.553191489361702,0.553191489361702,0.553191489361702,1,6971
"46","E02000064",6248,39520,62774.28,6565,1,0,1268,10.047099871959,0.57018927444795,0.57018927444795,0.57018927444795,1,6248
"47","E02000067",8750,35360,78259.0799999999,8941,1,0,1214,8.94389485714285,0.487644151565074,0.487644151565074,0.487644151565074,1,8750
"48","E02000068",7388,37440,33230.5900000001,4767,0,0,798,4.49791418516514,0.553884711779449,0.553884711779449,0.553884711779449,1,7388
"49","E02000071",7300,39000,23759.17,2752,0,0,653,3.25468082191781,0.607963246554365,0.607963246554365,0.607963246554365,1,7300
"50","E02000072",11734,33800,62401.23,6454,0,0,1060,5.31798448951764,0.510377358490566,0.510377358490566,0.510377358490566,1,11734
"51","E02000075",7948,40560,114736.13,11689,1,0,2215,14.4358492702567,0.544335719811357,0.288135593220339,0.842105263157895,4,1987
"52","E02000077",7823,38480,111493.01,11844,1,0,1514,14.2519506583152,0.482166446499339,0.482166446499339,0.482166446499339,1,7823
"53","E02000078",7665,42640,59896,5895,0,0,1032,7.81422048271363,0.592057255122088,0.541257367387033,0.642857142857143,2,3832
"54","E02000079",7865,39000,271980.42,29635,3,0,3159,34.5811087094724,0.509322741556244,0.501443001443001,0.517202481669487,2,3932
"55","E02000080",9430,38480,204408.31,23118,2,0,2692,21.6763849416755,0.487405359498383,0.445090439276486,0.52972027972028,2,4715
"56","E02000083",9771,36920,63992.84,6744,0,0,1132,6.54926210213898,0.532685512367491,0.532685512367491,0.532685512367491,1,9771
"57","E02000087",7579,46280,24564.85,3591,0,0,707,3.24117297796543,0.608203677510608,0.608203677510608,0.608203677510608,1,7579
"58","E02000091",9682,40040,127469.34,16392,1,0,1650,13.1656000826276,0.596018551711776,0.495608531994981,0.696428571428571,2,4841
"59","E02000093",10883,40040,72315.45,8245,0,0,1598,6.64480841679684,0.634840274380736,0.619750283768445,0.649930264993027,2,5441
"60","E02000094",8746,39520,55616.15,7085,0,0,1448,6.35903841756232,0.640485234769742,0.634081902245707,0.646888567293777,2,4373
"61","E02000095",9921,39000,174128.19,24479,2,0,3100,17.5514756576958,0.596609279099413,0.584639498432602,0.619822485207101,3,3307
"62","E02000096",7598,47320,32831.37,5092,0,0,860,4.321054224796,0.616279069767442,0.616279069767442,0.616279069767442,1,7598
"63","E02000097",8958,37440,57189.02,8170,0,0,1434,6.38412815360572,0.658031363960579,0.655621301775148,0.66044142614601,2,4479
"64","E02000098",7944,41600,66630.87,8831,1,0,1138,8.38757175226586,0.565905096660808,0.565905096660808,0.565905096660808,1,7944
"65","E02000100",8388,48880,1133.95,187,0,0,147,0.135187172150692,0.619047619047619,0.619047619047619,0.619047619047619,1,8388
"66","E02000101",9332,33800,87720.8400000001,9050,0,0,1807,9.40000428632663,0.607912094478043,0.583556747095621,0.632267441860465,2,4666
"67","E02000102",7787,35880,43775.7,5630,0,0,1266,5.62163862848336,0.64240155006284,0.61948051948052,0.665322580645161,2,3893
"68","E02000103",8723,35880,60017.84,8349,0,0,1077,6.88041270205205,0.602599814298979,0.602599814298979,0.602599814298979,1,8723
"69","E02000104",6767,40040,157631.47,17838,2,0,2906,23.2941436382444,0.61074483992744,0.565384615384615,0.6875,3,2255
"70","E02000106",10217,36920,160586.38,20601,2,0,2856,15.7175668004306,0.626745928948835,0.618908382066277,0.638041733547351,3,3405
"71","E02000107",10692,42120,157171.17,20544,1,0,3498,14.6998849607183,0.622199941384196,0.598958333333333,0.650501672240803,4,2673
"72","E02000109",9864,37440,28119.79,3373,0,0,720,2.85074918896999,0.570833333333333,0.570833333333333,0.570833333333333,1,9864
"73","E02000111",9782,35360,171395.71,23042,2,0,4344,17.5215405847475,0.571295221168873,0.344827586206897,0.6416,7,1397
"74","E02000112",9432,35880,26252.43,3292,0,0,627,2.78333651399491,0.633173843700159,0.633173843700159,0.633173843700159,1,9432
"75","E02000113",9655,30680,80090.9000000001,11721,1,0,1197,8.29527705851892,0.570593149540518,0.570593149540518,0.570593149540518,1,9655
"76","E02000114",9010,41080,46282.82,6348,0,0,932,5.13682796892342,0.631974248927039,0.631974248927039,0.631974248927039,1,9010
"77","E02000115",8340,44200,51863.52,4997,0,0,998,6.21864748201439,0.613226452905812,0.613226452905812,0.613226452905812,1,8340
"78","E02000116",8153,34840,62022.02,9405,1,0,1524,7.60726358395682,0.541918016015804,0.4,0.622727272727273,3,2717
"79","E02000117",12013,32240,109893.93,16629,1,0,2022,9.14791725630568,0.574207852913352,0.561238223418573,0.587177482408131,2,6006
"80","E02000119",7248,30680,123714.67,20313,2,0,3078,17.0688010485651,0.614586423579455,0.580645161290323,0.677227722772277,5,1449
"81","E02000120",9214,44720,26068.29,2837,0,0,702,2.82920447145648,0.608262108262108,0.608262108262108,0.608262108262108,1,9214
"82","E02000121",8933,35880,50269.37,7871,0,0,1222,5.62737826038285,0.642252077562327,0.638504155124654,0.646,2,4466
"83","E02000122",8079,44720,77364.96,9278,1,0,1615,9.57605644262904,0.654086021505376,0.62,0.688172043010753,2,4039
"84","E02000123",14719,34840,126462.37,16223,1,0,2617,8.59177729465316,0.62085464827211,0.591154261057174,0.653793103448276,3,4906
"85","E02000124",10222,47320,62674.4900000001,7889,0,0,1459,6.13133339855215,0.632167553652032,0.599286563614744,0.66504854368932,2,5111
"86","E02000125",10815,43160,131238.04,14860,1,0,1586,12.1348164586223,0.531525851197982,0.531525851197982,0.531525851197982,1,10815
"87","E02000126",7775,30680,60727.34,7089,0,0,1111,7.81059035369776,0.607560756075608,0.607560756075608,0.607560756075608,1,7775
"88","E02000128",7294,44200,249353.49,23524,3,0,3029,34.1861105017823,0.549881434355119,0.520532099479468,0.579230769230769,2,3647
"89","E02000130",7914,43680,48447.0099999999,5269,0,0,944,6.12168435683598,0.623940677966102,0.623940677966102,0.623940677966102,1,7914
"90","E02000131",8954,43160,787.31,43,0,0,32,0.0879283002010275,0.625,0.625,0.625,1,8954
"91","E02000134",10773,46800,246803.73,24039,2,0,3513,22.9094708994709,0.563892392710622,0.5,0.631578947368421,5,2154
"92","E02000135",9734,33280,111010.39,13457,1,0,2570,11.4043959317855,0.636501353371793,0.57130657557643,0.682926829268293,3,3244
"93","E02000138",7936,54080,58442.9,4964,0,0,1085,7.36427671370967,0.59815668202765,0.59815668202765,0.59815668202765,1,7936
"94","E02000141",6940,41080,62751.53,6289,0,0,1016,9.04200720461095,0.638779527559055,0.638779527559055,0.638779527559055,1,6940
"95","E02000144",8681,54600,221306.810000001,21704,2,0,2856,25.49323925815,0.570649335232669,0.552564102564103,0.588734567901235,2,4340
"96","E02000145",8086,34320,28193.13,2714,0,0,709,3.48665965866931,0.613540197461213,0.613540197461213,0.613540197461213,1,8086
"97","E02000149",7708,38480,152693.06,14620,1,0,2565,19.8096860404774,0.618471892240192,0.5836376917458,0.650822669104205,3,2569
"98","E02000151",7574,57720,98492.0700000001,9023,1,0,1972,13.0039701610774,0.583653328901504,0.558727569331158,0.60857908847185,2,3787
"99","E02000152",6572,36920,147355.68,13935,2,0,1681,22.4217407181984,0.519333729922665,0.519333729922665,0.519333729922665,1,6572
"100","E02000153",7755,49400,69010.17,6725,0,0,1212,8.89879690522244,0.551980198019802,0.551980198019802,0.551980198019802,1,7755
"101","E02000154",7959,45760,173165.28,17317,2,0,2595,21.7571654730493,0.557763941087815,0.555232558139535,0.560295324036095,2,3979
"102","E02000155",6905,40040,93403.4400000001,9663,1,0,1730,13.5269283128168,0.625892667910251,0.560277536860364,0.691507798960139,2,3452
"103","E02000156",12094,47320,185031.44,17123,1,0,2559,15.2994410451464,0.576830977468292,0.563576158940397,0.590085795996187,2,6047
"104","E02000160",7856,47840,123232.26,11367,1,0,1877,15.6863874745417,0.658796193592517,0.420512820512821,1,4,1964
"105","E02000161",8410,51480,102034.14,9635,1,0,1403,12.1324780023781,0.540983606557377,0.540983606557377,0.540983606557377,1,8410
"106","E02000162",6693,43160,162509.94,14472,2,0,2414,24.2805826983416,0.62024657697514,0.539297124600639,0.714285714285714,4,1673
"107","E02000163",7650,46800,186309.47,17916,2,0,3250,24.3541790849673,0.573701499049108,0.559870550161812,0.587121212121212,3,2550
"108","E02000165",7045,49400,139289.8,13699,1,0,2124,19.7714407381122,0.569690591899653,0.52048354600403,0.618897637795276,2,3522
"109","E02000166",7924,49920,68765.37,9263,1,0,1716,8.67811332660273,0.656418315145342,0.620239390642002,0.692597239648683,2,3962
"110","E02000167",7944,74880,123553.93,9761,1,0,2066,15.553113041289,0.644559837834992,0.641683778234086,0.647435897435897,2,3972
"111","E02000170",8338,60840,93160.96,9824,1,0,2402,11.1730582873591,0.653345130042922,0.628339140534262,0.66839378238342,4,2084
"112","E02000172",10147,35360,137374.17,14977,1,0,2535,13.5384024834927,0.632653128639855,0.582651391162029,0.66,3,3382
"113","E02000173",7675,64480,27781.15,3201,0,0,1046,3.61969381107492,0.611603667743972,0.411764705882353,0.733780760626398,3,2558
